Activity,Avg_CO2_Emission(kg/day),Category
Online shopping (1 order) - Variation 9,1.047,Lifestyle
Local shopping (1 trip) - Variation 9,0.242,Lifestyle
Plastic bag (per use) - Variation 9,0.011,Lifestyle
Reusable bag (per use) - Variation 9,0.001,Lifestyle
Flight (100 km) - Variation 9,21.396,Transport
"Car (Petrol, 20 km) - Variation 10",4.378,Transport
"Car (Diesel, 20 km) - Variation 10",3.962,Transport
Bus (20 km) - Variation 10,1.107,Transport
Train (20 km) - Variation 10,0.617,Transport
Bicycle (20 km) - Variation 10,0.0,Transport
Walking (20 km) - Variation 10,0.0,Transport
AC usage (8 hrs/day) - Variation 10,5.372,Household
Fan usage (8 hrs/day) - Variation 10,0.178,Household
LED Bulb (5 hrs/day) - Variation 10,0.049,Household
Old Bulb (5 hrs/day) - Variation 10,0.201,Household
Laptop (5 hrs/day) - Variation 10,0.091,Household
Desktop (5 hrs/day) - Variation 10,0.161,Household
Meat-based diet (per day) - Variation 10,6.382,Food
Vegetarian diet (per day) - Variation 10,1.66,Food
Vegan diet (per day) - Variation 10,1.709,Food
Online shopping (1 order) - Variation 10,1.054,Lifestyle
Local shopping (1 trip) - Variation 10,0.279,Lifestyle
Plastic bag (per use) - Variation 10,0.011,Lifestyle
Reusable bag (per use) - Variation 10,0.001,Lifestyle
Flight (100 km) - Variation 10,21.361,Transport
